job_id,title,company,location,url
standalone&origin=cardTitle#sol=af004312bed42fb4bd1f5d8a1b552d4aa6fe71fc,Software Engineer,SYPAQ Systems,Port Melbourne,https://www.seek.com.au/job/84808241?type=standard&ref=search-standalone&origin=cardTitle#sol=af004312bed42fb4bd1f5d8a1b552d4aa6fe71fc
standalone&origin=cardTitle#sol=6c3938b42027617aaf7460a69d74f849fa47436d,Software Engineer,Juncture IT Pty Ltd,North Sydney,https://www.seek.com.au/job/84646084?type=standard&ref=search-standalone&origin=cardTitle#sol=6c3938b42027617aaf7460a69d74f849fa47436d
standalone&origin=cardTitle#sol=66256bfcc4983b75030049be5f99dd8741ce9ff1,Software Engineer,Binary IT Pty Ltd,Homebush West,https://www.seek.com.au/job/84751230?type=standard&ref=search-standalone&origin=cardTitle#sol=66256bfcc4983b75030049be5f99dd8741ce9ff1
standalone&origin=cardTitle#sol=e3a364e70b937b14746c95bf573e891dd86da75c,Software Developer,Private Advertiser,Tuggerah,https://www.seek.com.au/job/84785143?type=standard&ref=search-standalone&origin=cardTitle#sol=e3a364e70b937b14746c95bf573e891dd86da75c
standalone&origin=cardTitle#sol=e2a59b7f3dc0fa9c3c1ca9ad709401f2040b9fdb,Graduate/Junior Software Engineer,Marcel Pacific,Fremantle,https://www.seek.com.au/job/84531282?type=standard&ref=search-standalone&origin=cardTitle#sol=e2a59b7f3dc0fa9c3c1ca9ad709401f2040b9fdb
standalone&origin=cardTitle#sol=1b20013b917605fca88de13e73303d4c73011b0e,Software Engineer,CompliSpace Pty Ltd,Sydney NSW,https://www.seek.com.au/job/84047516?type=standard&ref=search-standalone&origin=cardTitle#sol=1b20013b917605fca88de13e73303d4c73011b0e
standalone&origin=cardTitle#sol=ecddea9b83f4de66863e4623027ac62202e2debb,Software Engineer,AGITO Group Pty Ltd,Melbourne VIC,https://www.seek.com.au/job/84259847?type=standard&ref=search-standalone&origin=cardTitle#sol=ecddea9b83f4de66863e4623027ac62202e2debb
standalone&origin=cardTitle#sol=84e46df49724394f4e5cff91a196b137f492aa6c,Developer Programmer,Canterbury Timber & Building Supplies,Strathfield South,https://www.seek.com.au/job/84807061?type=standard&ref=search-standalone&origin=cardTitle#sol=84e46df49724394f4e5cff91a196b137f492aa6c
standalone&origin=cardTitle#sol=b5e0b5cc4de7e2c50dd238f4cb4ee6fcb8918951,Software Engineer,Aerodynamic Pty Ltd,Keilor Park,https://www.seek.com.au/job/84736935?type=standard&ref=search-standalone&origin=cardTitle#sol=b5e0b5cc4de7e2c50dd238f4cb4ee6fcb8918951
standalone&origin=cardTitle#sol=b8da9727e1bed7ebea9be2f50d229d87e62e9d7d,Software Engineer (Simulation),Applied Virtual Simulation Pty Ltd,Broadmeadow,https://www.seek.com.au/job/84805423?type=standard&ref=search-standalone&origin=cardTitle#sol=b8da9727e1bed7ebea9be2f50d229d87e62e9d7d
