job_id,title,company,location,url,description
standalone&origin=cardTitle#sol=85d589d068df6edc0f050dcb8bd55c27446b3831,Software Engineer,Juncture IT Pty Ltd,North Sydney,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=85d589d068df6edc0f050dcb8bd55c27446b3831/,Description not found
standalone&origin=cardTitle#sol=26ef83d242de952a1e9bec8af9db80bb73a51914,Software Developer,Ox Mountain Limited,Perth WA,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=26ef83d242de952a1e9bec8af9db80bb73a51914/,Description not found
standalone&origin=cardTitle#sol=c3ba13179140b567a6eec19e4aa61abdc8862329,Software Engineer,Saab Australia Pty Ltd,Mawson Lakes,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=c3ba13179140b567a6eec19e4aa61abdc8862329/,Description not found
standalone&origin=cardTitle#sol=0dd49f1654af121fd400954de9c1b551488cd623,Graduate Software Engineer – Cloud & Software Innovation,Blackmagic Design,South Melbourne,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=0dd49f1654af121fd400954de9c1b551488cd623/,Description not found
standalone&origin=cardTitle#sol=e2748fdd65611211aec8608ba0916734b4cbd4cb,Principal Software Engineer,Commonwealth Bank – Technology,Eveleigh,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=e2748fdd65611211aec8608ba0916734b4cbd4cb/,Description not found
standalone&origin=cardTitle#sol=11babfc56d915589c2da335e79ca005f111ba6cc,Software Engineers/Developers TSPV,Leidos Australia Pty Ltd,Canberra ACT,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=11babfc56d915589c2da335e79ca005f111ba6cc/,Description not found
standalone&origin=cardTitle#sol=398eee1b55f16daf65f1157bbc68d3ac8432bc59,Senior Software Engineer - Sensor Fusion,The Onset,Pyrmont,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=398eee1b55f16daf65f1157bbc68d3ac8432bc59/,Description not found
standalone&origin=cardTitle#sol=ea2b324f06810105f9c0e230b0ceb04d59a8086a,Software Engineer - Azure Core Storage - Neurodiversity Hiring Program,Microsoft,Sydney NSW,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=ea2b324f06810105f9c0e230b0ceb04d59a8086a/,Description not found
standalone&origin=cardTitle#sol=87a2bcdf0ea5eca4d4c853857d429124a354549a,Principal Software Engineer,Commonwealth Bank – Technology,Sydney NSW,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=87a2bcdf0ea5eca4d4c853857d429124a354549a/,Description not found
standalone&origin=cardTitle#sol=b8c2c9b15597da26f8d283b6b4f241fcc36c9692,Software Engineer,Systemic Pty Ltd,Perth WA,https://www.seek.com.au/job/standalone&origin=cardTitle#sol=b8c2c9b15597da26f8d283b6b4f241fcc36c9692/,Description not found
