Job Title,Company Name,Location,Salary/Pay Range,Key Responsibilities,Required Skills/Qualifications,Date Posted,Job Type,Phone Number,Email,Full Job Description,Job URL
Software Engineer,Private Advertiser,Melbourne VIC,-,See Full Description,See Full Description,-,Full time,-,-,"Pozi is a web-based Geographic Information System (GIS) software company that makes spatial data more accessible and useful for organisations. We aggregate data from various sources, including public data catalogues, corporate databases, and third-party web services into a user-friendly mapping platform that allows our customers to make easy data driven decisions.
We are seeking a passionate and dynamic
Software Engineer
, specialising in front end development, to help drive the continued success of our platform through innovative thinking, clean and scalable code, and a user-centric approach.
In this role, you’ll collaborate closely with a small, agile team to solve real-world problems, enhance our product capabilities, and deliver powerful spatial solutions to our growing customer base.
You will be responsible for undertaking a variety of tasks including but not limited to:
Develop and maintain in house software and web applications
Build user interfaces and provide solutions for simplifying highly complex information.
Monitor frameworks for error detection
Provide advice and resolutions for complex issues.
We are looking for a highly motivated individual with strong communication and interpersonal skills, a sense of fun, the ability to work well under pressure and an absolute focus on exceptional service.
You will bring:
Tertiary degree within the Computer Science or Software Engineering field
Minimum 5 years technical proficiency and experience
Essential skills:
Javascript/Typescript, HTML and CSS
React
NodeJS
Experience working with RESTful APIs
Git/Github
Highly Desirable:
Experience with mapping frameworks such as OpenLayers, Mapbox or Leaflet.
Experience with Geospatial web services and OGC web services
Desirable:
Familiar with working with Linux, Bash
Previous experience working with frameworks like PHP CodeIgniter, Laravel, Python Django, Ruby on Rails
Testing methodologies - unit testing, functional testing, integration testing, feature flags
Familiar with Continuous Integration and Continuous Delivery processes(CI/CD)
Willingness to develop, refactor, and maintain legacy code
Software Development Lifecycle Process(Agile, Scrum)
Knowledge on Authorisation and Authentication topics(OAuth)
Observability Tools - Sentry, OpenTelemetry, Grafana, etc
Microsoft Azure (AD, Entra, IIS)
Amazon Web Services",https://www.seek.com.au/job/84591035
Technical Consultant - GoCanvas,ARKANCE AUSTRALIA PTY LIMITED,Melbourne VIC,"$100,000 per year",See Full Description,See Full Description,-,Full time,-,-,"ABOUT ARKANCE
Underpinned by French parent company,
Monnoyeur Group
with a 100+ year history as a leader in the B2B construction and manufacturing industries,
ARKANCE
has emerged as the largest global provider and trusted transformational partner at the forefront of digital technology for building, manufacturing and construction industries worldwide.
Today
ARKANCE
is part of a global network that provides unparalleled coverage across EMEA, USA and APAC and combines world class technology partners with its own IP solutions, expertise, professional services and support. With a portfolio for sustainability -
Think.Future
, and a software and technology portfolio -
Build.Smart,
we’re committed to our vision of
advancing the way we work together to build a better world.
With 50 locations spanning 18 countries across the globe, we are focused on living and breathing our cultural values:
We solve challenges, We trust, We make it easy and We put our people first.
Find out more here:
https://arkance.world/us-en/
***This role can be based in Melbourne, Sydney or Brisbane***
THE ROLE
As a
Technical Consultant
, you will be responsible for designing, delivering, and optimising mobile form and workflow solutions using the GoCanvas platform. You’ll work directly with clients and internal teams to scope, implement, and support practical technology solutions that eliminate paperwork, reduce inefficiencies, and improve accuracy across field-based industries.
Your responsibilities include but are not limited to:
Work with sales and pre-sales teams to understand client pain points and shape practical solutions
Run tailored, engaging demos that demonstrate business value, not just features
Lead the delivery of GoCanvas-based solutions – from discovery and build to training and deployment
Develop and deliver customised training for a range of users, from field workers to admins
Provide go-live support and identify opportunities for further optimisation post-implementation
Act as a subject matter expert for GoCanvas within the business, mentoring junior team members
Keep abreast of GoCanvas platform updates and contribute to internal process improvements
ABOUT YOU
We are looking for an approachable and solutions-focused professional to join our team. Our ideal candidate will possess the following:
Experience delivering software, SaaS, or workflow solutions in a client-facing role
Understanding of operations in field-based industries like construction, infrastructure, or services
Ability to manage multiple projects and stakeholder groups
Confident in demos and training sessions for technical and non-technical users alike
Strong understanding of how cloud platforms, mobile apps, and data integrations work
Comfortable translating business problems into technology-based solutions
Excellent communication and interpersonal skills
WHAT WE OFFER
Here at ARKANCE, we offer a range of benefits to our employees including:
Growth and career progression opportunities
within the business
Flexible working hours
so you can prioritise what matters to you
Hybrid or office-based work options
to suit your lifestyle
Reward Gateway benefits
offering discounts on everyday essentials, exclusive deals on popular brands, and wellness support.
Paid parental leave
to support your growing family
Defence Force and Community Service Leave
, recognising the importance of giving back
Paid day off for your Birthday
to celebrate you
Novated lease options
to help you with cost-effective vehicle leasing
Employee referral program
rewarding you for bringing great talent into our team
Monthly employee recognition
honouring exceptional contributions and celebrating individual achievements within the team.
Employee assistance program (EAP)
for confidential support.
If you’re ready to take the next step in your career and join the dynamic ARKANCE team, please click the ‘Apply’ button below prior to the
closing date: 20th June 2025.",https://www.seek.com.au/job/84344296
Software Developer,Unifacta Pty Ltd,"South Melbourne, Melbourne VIC","$80,000 – $90,000 per year",See Full Description,See Full Description,-,Full time,-,-,"About the role
Unifacta Pty Ltd is seeking a talented Software Engineer to join our dynamic and innovative team based in Melbourne, Victoria. As a Software Engineer, you will play a crucial role in developing and enhancing our cutting-edge software solutions. This full-time position offers the opportunity to work alongside experienced professionals and contribute to the growth and success of our company.
We are a small team that work closely together and lean on each others skills and abilities regularly.
What you'll be doing
Collaborate with a small but dedicated team to design, develop, and implement software applications and features
Write clean, efficient, and well-documented code using the latest technologies and best practices
Participate in the entire software development lifecycle, including requirements gathering, design, testing, and deployment
Communicate with clients to understand requirements and translate into technical briefs.
Troubleshoot and debug existing applications to identify and resolve issues
Continually learn and stay up-to-date with the latest industry trends and technologies
Contribute to the development of innovative solutions to complex business problems
Assist various departments where necessary within the areas of your technical expertise, including On-Boarding and Support.
What we're looking for
3-5 years of experience in software development, either through internships, projects, or previous roles
Strong proficiency in front-end frameworks and technologies including JavaScript, CSS and HTML. React & React Native experience an advantage.
Experience collaborating with customers to solve problems
Excellent communication skills with the ability to bridge the gap between technical teams and business stakeholders.
Strong problem-solving and critical thinking skills
Excellent communication and collaboration abilities
Passion for staying up-to-date with the latest technologies and trends in the industry
Bachelor's degree in Computer Science, Software Engineering, or a related field, preferred but not necessary depending on experience
What we offer
At Unifacta, we believe in fostering a supportive and inclusive work environment that empowers our employees to thrive. We offer a range of benefits, including:
- Competitive salary and bonus structure
- Flexible work arrangements to support work-life balance
- Collaborative and innovative work culture
About us
Unifacta Pty Ltd is a leading provider of innovative software solutions for a diverse range of industries. Our mission is to deliver cutting-edge technology that drives business success and transforms the way our clients operate. With a talented team of experts, we are committed to pushing the boundaries of what's possible and delivering exceptional value to our customers.
If you're passionate about software engineering and eager to join a dynamic and innovative team, we encourage you to apply for this exciting opportunity.
Apply now
and take the first step towards a rewarding career at Unifacta Pty Ltd.",https://www.seek.com.au/job/84205470
Software Engineer,AGITO Group Pty Ltd,Melbourne VIC,"$100,000 – $130,000 per year",See Full Description,See Full Description,-,Full time,-,-,"WHO WE ARE
AGITO are a multinational engineering company who develop and implement automation and technology solutions.
Our engineering expertise and industry knowledge are in the areas of logistics, distribution, production and materials handling. Systems engineering, manufacturing, software development, and ongoing service are an important part of our business model, and we encourage our team to seek out innovative and contemporary methods.
AGITO’s recent joint venture partnership with Hilton Food Group is a key driver for our growth and global expansion, and with the support of Hilton, we are advancing into new markets and transforming the automation sector.
This position offers the right person an opportunity to get in on the ground floor of a business that will only continue to grow.
PURPOSE OF ROLE
The core functions of the role are designing and developing software solutions for AGITO’s automation solutions and will also include support for systems already in the field.
You will be at the forefront of designing and developing software for technologies in the areas of automation (AMRs, Roaming Shuttle systems, Co-bots, etc) and real-time communications as we expand into new markets across the globe.
KEY ACCOUNTABILITIES & RESPONSIBILITIES
The role will give the successful applicant the opportunity to:
Build efficient and reusable applications and services that improve usability and remote support for AGITO Automation solutions
Develop data analysis and reporting functionality
Develop tools and dashboards for Materials Handling and Warehousing systems
Design and develop to API specifications
Develop innovative networking and communications solutions with a focus on cyber security, scalability, and performance
Work with mechanical and electrical teams on integration of IT Systems with mechatronic / robotic systems
Participate in code reviews with other engineers
Set up server hardware, switches, virtualizing platforms and cloud environments
Be part of the commissioning, installation and connection of developed systems on customer’s site
Communicate and demonstrate the software and AGITO’s vision clearly to both internal teams and external customers
Software support and maintenance including paid rostered after-hours support
KEY EXPERIENCE, KNOWLEDGE & SKILLS
Experience:
Hold a Tertiary Qualification in Computer Science, IT, Software Engineering, or a related discipline
Have a minimum 2+ years’ experience in Software Development
Have solid programming skills with a good working knowledge of building APIs using modern OO languages such as C#, .Net, Node.js, JAVA, JavaScript, HTML5, XML, JSON, SQL, NoSQL
Have experience in implementing solutions on both Linux and Windows platforms
Work collaboratively and be committed to be part of a successful team
Adapt to new programming frameworks and languages as required
Respond quickly to client demand
Knowledge & Skills:
A willingness to learn and grow your knowledge
The knowledge and experience to adapt to new programming frameworks and languages as required
The drive to respond quickly to client demand
Experience in design and development to API “best practice design” and specifications
Attention to detail
The ability to work either as part of a team or autonomously and prioritize competing demands
Have solid skills in documenting solutions and manuals
Practical site experience with automation systems
Ability to review, understand, document and improve existing code / solutions
AT AGITO
We are all about creating better experiences – for our customers and for each other.
We work hard to support and nurture our people, and as the business continues to expand into international markets, we offer ongoing career development and opportunities for our team.
Please note:
To apply you must reside in AU & hold Permanent working rights.
This role will initially be 100% WFH, transitioning to Hybrid.",https://www.seek.com.au/job/84259847
Software Engineer,EngineRoom Applications,Melbourne VIC,"$100,000 – $130,000 per year",See Full Description,See Full Description,-,Full time,-,-,"Role: Software Engineer - 100% REMOTE ROLE
Reports to: CTO
We unlock business potential.
EngineRoom was founded in 2013 to make better use of digital and technology as a source of competitive advantage for high-achieving SMEs. We created an approach that integrates business objectives and digital channels into strategies that drive growth and success.
Today, the EngineRoom team continues to live our core mission — using digital, data and technology to help businesses unlock their full potential.
Ready to unlock your potential?
EngineRoom helps businesses grow through data, digital and technology, but it’s our people that really make the difference. We’re an award-winning team of industry leaders and subject matter experts, data analysts and digital marketers, content creators and strategists, designers and engineers.
Is this the right role for you?
Delivering positive outcomes for our clients and EngineRoom is what we are about. As our business continues to grow we are looking for a highly skilled Software Engineer to join our Engineering team to take our Growth Marketing Platform to the next level.
Write high-quality code using best practices
Collaborate within a cross-functional team and update our platform with new features to improve user experience
Be a great team player and find ways to continually improve
Some skills that we are looking for:
Experience working in an agile environment in small cross-functional teams
Proficiency in fundamental software engineering concepts such as SOLID principles, DRY, clean code, automated testing and TDD
Proficiency in PHP and Laravel
Proficiency in JavaScript and Vue.js
Solid understanding of relational databases such as MySQL and Postgres
Experience building RESTful APIs
Experience working with a major cloud platform, ideally AWS
Worked on multi-tenant SaaS web applications used by thousands of users
Minimum of 3-years work experience required
Here’s some extra things you may bring to the table:
Experience working in marketing technology or a similar vertical
Experience working with data-heavy software products before
We are a Remote1st company
, this means our team has the freedom and support to work where they want. Our team is a committed crew that are empowered to show up everyday and make magic happen. There are many things that make EngineRoom an amazing place to work, but we think these are worth a special mention:
Annual $1000 Design Your Own Work Environment Allowance to spend on anything you need to kit up your home office
Wellness and WFH vouchers
Great Place to Work - three years in a row!
Regular virtual team events
Industry leading salaries and incentives
If the sound of a determined, high performing and innovative team environment gives you goosebumps then we would love to hear from you!",https://www.seek.com.au/job/84365035
Staff Software Engineer,Redcat Pty Ltd,"Cremorne, Melbourne VIC",-,See Full Description,See Full Description,-,Full time,-,-,"Job description
About the Company
The
Redcat
Hospitality IT Platform offers business-management software and hardware solutions that cover web and mobile applications including online ordering and loyalty systems, tightly integrated with the point of sale (POS) and back of house applications. Redcat also supports multiple integrations to enhance the offerings suite for our clients.
We work with amazing hospitality brands like Boost Juice, Nando's, Chatime, Grill'd, Schnitz just to name a few, to provide them with a hospitality platform that provides a seamless customer experience.
We're a company that puts culture first and are looking for people to help us continue our growth!
Key Responsibilities
Technology leadership
Evangelise and help lead the product development teams to achieve continuous delivery of valuable software by delivering software with a focus on fast feedback and automation through robust engineering & delivery practices.
Campaign technical strategy to your peers and to the senior leadership team of Redcat through your ability to take complex technical issues and propose solutions that are deliverable and ensure we are moving toward our desired state
Produce well-designed, high-quality solutions that deliver measurable business value and meet customer needs
Lead major architectural initiatives to improve security, governance, and infrastructure scalability & overall platform reliability
Through your work with our product development teams, lead the design and development of scalable, high-performance systems.
Leadership
Working closely with product & engineering, shape our products roadmap, ensuring we are balancing delivery and platform evolution
Bring a technical perspective to product portfolio prioritisation and planning, bridging the gap between product ideas and engineering realities
Foster a team culture of collaboration, ownership and continuous improvement
Mentor and coach software engineers to develop problem-solving skills, broaden and deepen technical knowledge, develop product thinking skills, and support career growth
A natural coach and guide, sought after by peers for assistance
Understand deeply Redcat’s business strategy and evangelise that across our product development teams
About You
You will have extensive experience in designing, developing, and maintaining cloud-first applications and APIs, with a focus on well-architected systems
Proven ability to lead technical roadmaps, implement CI/CD practices, and drive platform health across engineering teams.
Strong software engineering skills with experience in writing well-tested, secure, and readable software
Demonstrated experience in technical leadership, including mentoring, coaching, and guiding software engineers within and across teams
Ability to influence and negotiate with senior stakeholders, focusing on outcomes that align with overall strategy.
Experience implementing continuous delivery, agile and lean practices
Our Values
Integrity - We stand for integrity
Teamwork - Together we shine
Customer Centric - We have the customer at the Heart
Innovation - Be the agent of change
Accountability - We deliver what we promise
Why Join Us?
To attract the best people we understand that it takes more than just a generous salary. To keep an engaged and motivated team, we also provide career growth opportunities, work flexibility, autonomy, and a high-performance culture – all to ensure that you can achieve your best – both inside and away from work.
Benefits Include
A day off for your birthday 🎁
Regular social events 🎉
Sponsored professional development 👩🏻‍💻
A relaxed and friendly team culture 🤗",https://www.seek.com.au/job/84619447
Software Engineer,Aerodynamic Pty Ltd,"Keilor Park, Melbourne VIC","$78,000 per year plus super",See Full Description,See Full Description,-,Full time,-,-,"Aerodynamic is an avionics equipment service provider focused on providing solutions for commercial and business jet operators, MRO’s and military customers. With over 30 years’ experience, Aerodynamic is the leading flight data services provider for major airlines and maintenance repair facilities globally. Our passion and commitment to deliver quality support, services and knowledge to ensure we meet your project needs and business downtime is minimal.
The Position
We are looking for a full time software Engineer to carry out the design of software applications, development of new capabilities and all software related functions.
Salary Package
$78,000 + Superannuation benefits
Duties and Responsibilities
Software development, software upgrades, verification & validation
Developing new capabilities of software applications, interfacing with hardware to meet requirements
Researching, consulting, analysing and evaluating system program needs
Identifying technology limitations and deficiencies
Testing, debugging, diagnosing and correcting errors and faults
Writing and maintaining program code to meet system requirements
Writing, updating and maintaining technical program, end user documentation and operational procedures
Providing advice, guidance and expertise in developing proposals and strategies on projects
Take part in regular training programs
Skills and Experience
To be considered for this role you will be
A degree qualified Software Engineer who brings 2 years of local or international experience as a Software Engineer with software development, embedded engineering or equivalent
You will have knowledge of appropriate programming software languages (C, C++), packages and platforms including Python, React, Java Script
Candidates that bring electronics hardware and software engineering qualifications will be highly regarded.
Please send full resume along with your application.",https://www.seek.com.au/job/84736935
Software Engineer,My Profile Score Pty Ltd,Melbourne VIC,"$100,000 – $104,000 per year",See Full Description,See Full Description,-,Full time,-,Kb@myprofilescore.com,"Full Time Permanent Position
$104,000 +super
About the role.
We are looking for a skilled and experienced Software Engineer to join our team. As a Software Engineer, you will design, develop, test, and maintain software systems, write clean code, resolve technical issues, and improve existing technologies. You’ll manage deployments, ensure security, provide technical documentation, and support continuous improvement. Flexibility to work on weekdays and weekends may be required based on project needs.
Role and Responsibilities
• Designing and developing tools to support software development, deployment, security, and overall management. • Writing, reviewing, and maintaining program code to align with system designs, technical specifications, and accredited quality standards.
• Testing, debugging, and correcting software errors within set protocols to ensure applications, including their security features, perform as intended.
• Conducting in-depth research and consultation to analyse and evaluate system programming needs.
• Identifying shortcomings and inefficiencies in existing systems, technologies, and operational procedures.
• Writing and maintaining technical documentation, user guides, and standard operating procedures for software systems.
• Managing and automating the testing and deployment processes of applications to streamline delivery and ensure reliability.
• Gathering and analysing operational performance metrics to drive system improvements.
• Developing and implementing strategies for continuous integration, delivery, and improvement throughout the software development lifecycle.
• Advising on software design proposals, including financial evaluations, cost estimates, and recommendations for purchases or upgrades.
• Performing forensic analysis to detect security anomalies or threats within systems and applications.
• Implementing encryption and decryption processes to ensure data confidentiality and system integrity.
• Identifying, assessing, and mitigating risks that may affect software performance and security across the product lifecycle.
Benefits and perks
Business offers a great workplace for its staff where everyone feels valued and respected. It's an opportunity for you to be an integral part of this unique organization.
Skills and experience
• must have an experience of more than 2 years working as a Software Engineer.
• Applicant must have Bachelor or higher qualification in the relevant sector.
• Strong attention to detail and ability to follow the procedures accurately.
• Excellent time management skills to meet the deadlines. • Flexibility to work in a fast-paced and dynamic environment.
How to Apply If you are interested in applying for the above position, please forward your resume to us on
Kb@myprofilescore.com
.
Please note we will ONLY be contacting candidates who are successful for an interview.",https://www.seek.com.au/job/84633116
Junior Software Developer - Remote,MEQ Probe,Melbourne VIC,-,See Full Description,See Full Description,-,Full time,-,lawrence@meqprobe.com,"At MEQ Probe, our mission is to revolutionise the animal protein industry, with a specialisation in red meat. We provide cutting-edge solutions that harness early, objective data, benefiting everyone from breeders to consumers. Currently, our portfolio includes four primary innovative technical solutions: MEQ Live, MEQ Probe, MEQ Insights and MEQ Camera.  Our primary focus is on live cattle and carcass evaluation in the Sheep and Beef sectors. Our innovative technologies allow the application and utilisation of data to unlock new customer value. Through our innovative solutions, we are revolutionising the red meat industry and building  a more sustainable future,  for businesses and consumers.
About the Role:
MEQ is seeking a passionate and proactive Junior Software Developer to join our Machine Learning and Research & Development team. This position plays a vital role in supporting internal software tools, integrating hardware, managing data workflows, and contributing to data-driven research projects. This is an ideal opportunity for a technically minded individual to gain hands-on experience in a fast-paced, innovation-led environment. This is a
remote role
, with MEQ Head Office in Melbourne.
Key responsibilities of the role include:
Software Development & Maintenance
Develop, test, and maintain internal software tools and features.
Integrate hardware peripherals and sensors with software systems.
Implement workflow efficiencies and maintain high coding standards.
Data Management & Analysis
Support the ML data labelling platform’s infrastructure and workflows.
Conduct data cleaning, analysis, and visualisation to support research.
Maintain detailed records of data and findings.
Technical Support & Troubleshooting
Investigate and resolve technical issues across the team.
Contribute to technical documentation and knowledge sharing.
Research & Learning
Experiment with new tools and technologies relevant to ML and R&D.
Support development of ML models and exploratory data projects.
Team Collaboration & Communication
Collaborate effectively within the team to meet project objectives.
Clearly communicate technical progress and insights.
About You:
Essential
A Bachelor’s degree in Computer Science, Mathematics, or a relevant field - or 2+ years equivalent industry experience or open source contributions.
Proficient in Python programming, including multiprocessing/multithreading.
Strong problem-solving skills and a self-directed learning mindset.
Experience working with Linux systems (e.g., Ubuntu, Debian).
Preferred
Knowledge of ML, statistical modelling, or signal processing.
Familiarity with databases, networking, and infrastructure.
Experience with microcontrollers (e.g., Arduino), reverse engineering, or Kotlin.
Exposure to cloud platforms such as AWS, GCP, or Snowflake.
Experience in the AgTech or red meat industry.
Understanding of lean manufacturing and process improvement.
What MEQ Probe Offers:
Be a part of a fast-growing Australian company disrupting the industry with world-first technology.
Flexible working arrangements: Work remotely
Competitive salary package, including equity and sales commissions, commensurate with experience.
Access to a supportive Paid Parental Leave Package and generous leave options for parents.
Career development opportunities and professional growth.
A safe and inclusive workplace where you can be your authentic self.
To Apply:
Please apply via the ‘apply’ button by submitting your resume and cover letter. For more information, contact Lawrence Au at
lawrence@meqprobe.com
.",https://www.seek.com.au/job/84156846
JUNIOR AI ENGINEER - VIC,Bentleigh Sign Group,"Keysborough, Melbourne VIC",-,See Full Description,See Full Description,-,Full time,-,-,"Market Leading Sign Manufacturer
We are a National family owned signage manufacturer that has been in operation for over 65 years, with a strong focus on corporate signage. Head office is located in Keysborough, next to Eastlink.
Benefits:
Well-established national company with long-term career opportunities
Excellent company culture and supportive team environment
Position:
Ideal for Recent AI Graduates, with a creative and agile approach to business thinking
Someone who would like to implement AI and automation strategies into a proven business.
Deliverables:
Develop strategy towards AI Implementation into existing Manufacturing and service-based business.
Implement strategy surrounding the use of AI to assist with the front-end compartmentalisation of product to then drive pricing and production
Future planning for production automation working in conjunction with AI
Assess and identify opportunities for AI integration departments, including Operations, Product Development, Marketing, Sales, Finance, HR, and Compliance, to optimise processes and drive strategic outcomes.
Serve as the primary point of contact for AI-related initiatives, providing technical guidance
Expectations:
Office based role
Full time
Tertiary Qualifications in AI / Automation
Understanding of process management
Develop an internal AI team to support the national business growth
If this position sounds like what you're looking for we would love to hear from you.",https://www.seek.com.au/job/84489470
